1,44,7,0,0,44,1
2,20,10,0,0,40,1
3,46,6,0,0,37,1
4,39,9,0,0,50,1
5,34,9,0,0,40,1
6,19,9,0,0,35,1
7,27,9,5178,0,40,2
8,53,5,0,0,40,1
9,46,11,0,0,40,1
10,23,13,2907,0,40,1
11,39,10,0,0,40,1
12,30,9,0,0,40,1
13,53,14,0,0,45,2
14,33,5,0,0,40,1
15,22,10,0,0,40,1
16,44,10,0,0,35,1
17,30,10,0,0,40,1
18,66,10,0,0,20,1
19,39,13,0,0,40,1
20,37,9,0,0,50,2
21,34,9,0,0,40,1
22,17,7,0,0,20,1
23,43,13,0,0,60,2
24,46,13,0,0,50,2
25,17,7,0,0,20,1
26,60,4,3137,0,40,1
27,63,14,5013,0,40,1
28,42,12,0,0,40,1
29,30,5,0,0,40,1
30,33,9,0,0,40,1
31,43,10,0,0,40,1
32,20,5,0,0,40,1
33,30,10,0,0,72,1
34,37,9,0,0,45,1
35,33,10,0,0,40,1
36,49,13,0,0,40,2
37,65,9,0,0,17,1
38,35,15,0,0,55,2
39,27,13,0,0,40,1
40,33,9,0,1977,45,2
41,18,8,0,0,20,1
42,41,14,0,0,50,1
43,38,13,0,1340,40,1
44,45,9,0,0,40,1
45,18,10,0,0,40,1
46,33,10,0,0,38,1
47,28,9,0,0,40,1
48,47,9,0,0,40,1
49,30,12,0,0,20,1
50,36,12,0,0,40,1
51,21,9,0,0,30,1
52,44,13,0,0,40,1
53,33,9,0,0,20,1
54,61,9,0,0,6,1
55,29,10,0,0,40,1
56,45,10,0,0,40,2
57,18,9,0,0,60,1
58,29,11,0,1564,56,2
59,27,13,0,0,40,1
60,21,10,0,0,20,1
61,22,10,3781,0,35,1
62,49,10,0,0,45,2
63,35,10,0,0,50,1
64,47,9,5178,0,40,2
65,37,10,0,0,40,1
66,37,11,0,0,48,2
67,26,9,0,0,40,1
68,18,9,0,0,40,1
69,55,10,0,0,45,1
70,47,12,5178,0,50,2
71,59,9,0,0,40,1
72,70,9,0,0,5,1
73,53,9,0,0,40,2
74,39,9,0,0,40,1
75,38,5,0,0,40,1
76,33,10,0,0,50,1
